Sexo;Idade;Raça;Escolaridade;Rendimento mensal;Horas trabalhadas por semana;Região do domicílio;Número de pessoas no domicílio
Homem;27;Preta;Fundamental completo ou equivalente;100;8;Urbana;6
Mulher;53;Parda;Médio completo ou equivalente;1500;40;Urbana;3
Homem;26;Branca;Superior completo;5000;40;Urbana;2
Homem;60;Parda;Fundamental incompleto ou equivalente;600;44;Urbana;3
Homem;58;Parda;Fundamental incompleto ou equivalente;600;20;Urbana;4
Homem;38;Parda;Médio completo ou equivalente;1200;40;Urbana;5
Homem;22;Parda;Médio incompleto ou equivalente;500;20;Rural;4
Homem;49;Parda;Fundamental incompleto ou equivalente;1800;44;Urbana;4
Mulher;30;Branca;Médio completo ou equivalente;1045;30;Urbana;4
Homem;43;Parda;Médio incompleto ou equivalente;1500;24;Urbana;3
Mulher;51;Branca;Superior completo;1972;20;Rural;3
Mulher;41;Parda;Médio completo ou equivalente;800;20;Urbana;4
Homem;48;Branca;Superior incompleto ou equivalente;1300;48;Urbana;4
Mulher;46;Parda;Fundamental incompleto ou equivalente;850;16;Urbana;3
Homem;33;Branca;Fundamental incompleto ou equivalente;1100;40;Urbana;4
Mulher;49;Branca;Fundamental incompleto ou equivalente;1045;44;Rural;2
Mulher;56;Preta;Fundamental incompleto ou equivalente;1000;40;Urbana;2
Mulher;35;Parda;Superior completo;1800;44;Urbana;2
Homem;63;Branca;Fundamental incompleto ou equivalente;1300;44;Urbana;6
Mulher;42;Branca;Médio completo ou equivalente;1300;40;Urbana;2
Mulher;42;Branca;Superior completo;5000;40;Urbana;1
Homem;18;Branca;Médio completo ou equivalente;2000;60;Rural;3
Homem;20;Parda;Médio completo ou equivalente;1000;40;Rural;3
Homem;21;Branca;Médio completo ou equivalente;20000;25;Urbana;5
Homem;31;Parda;Superior completo;1300;40;Urbana;4
Homem;77;Branca;Fundamental incompleto ou equivalente;1000;60;Urbana;3
Homem;36;Branca;Fundamental completo ou equivalente;1500;35;Urbana;5
Homem;57;Branca;Superior completo;4000;40;Urbana;3
Mulher;41;Parda;Médio completo ou equivalente;2000;40;Urbana;3
Mulher;35;Preta;Superior completo;8000;40;Urbana;2
Homem;35;Parda;Fundamental incompleto ou equivalente;1000;40;Urbana;3
Homem;46;Branca;Médio completo ou equivalente;1500;40;Urbana;3
Mulher;59;Parda;Fundamental incompleto ou equivalente;1000;56;Rural;2
Mulher;50;Parda;Superior incompleto ou equivalente;1045;40;Urbana;4
Homem;22;Parda;Médio completo ou equivalente;2000;44;Urbana;11
Mulher;52;Parda;Superior completo;5000;40;Urbana;1
Mulher;44;Parda;Médio completo ou equivalente;1200;20;Urbana;3
Mulher;35;Amarela;Superior completo;1400;20;Urbana;4
Homem;42;Preta;Fundamental incompleto ou equivalente;1500;44;Urbana;2
Mulher;47;Branca;Médio completo ou equivalente;900;16;Urbana;6
Homem;24;Preta;Médio incompleto ou equivalente;1300;44;Urbana;4
Homem;65;Parda;Médio completo ou equivalente;1045;40;Rural;3
Mulher;37;Branca;Fundamental incompleto ou equivalente;800;60;Rural;4
Homem;37;Branca;Médio completo ou equivalente;500;32;Urbana;7
Homem;22;Parda;Médio completo ou equivalente;1500;40;Urbana;3
Mulher;43;Branca;Médio completo ou equivalente;1200;44;Urbana;3
Mulher;57;Branca;Médio incompleto ou equivalente;5000;44;Urbana;4
Mulher;37;Parda;Superior completo;5000;50;Urbana;3
Homem;60;Parda;Sem instrução e menos de 1 ano de estudo;400;44;Rural;5
Homem;70;Preta;Fundamental incompleto ou equivalente;1012;10;Rural;2
Homem;20;Parda;Médio completo ou equivalente;1000;48;Urbana;4
Homem;52;Branca;Fundamental completo ou equivalente;2500;44;Rural;2
Mulher;21;Branca;Médio completo ou equivalente;1200;44;Urbana;2
Homem;20;Parda;Fundamental completo ou equivalente;1300;50;Rural;6
Homem;28;Branca;Fundamental completo ou equivalente;1600;44;Urbana;4
Homem;64;Parda;Fundamental incompleto ou equivalente;700;55;Rural;2
Homem;52;Parda;Fundamental incompleto ou equivalente;2600;55;Urbana;1
Homem;44;Preta;Sem instrução e menos de 1 ano de estudo;522;56;Rural;5
Mulher;53;Parda;Médio completo ou equivalente;1045;44;Urbana;2
Homem;46;Branca;Médio incompleto ou equivalente;1550;40;Rural;3
Mulher;22;Branca;Superior incompleto ou equivalente;3135;40;Urbana;2
Homem;62;Branca;Fundamental completo ou equivalente;1000;36;Rural;3
Homem;64;Parda;Fundamental incompleto ou equivalente;100;40;Rural;3
Homem;34;Parda;Superior incompleto ou equivalente;5000;40;Urbana;4
Homem;37;Branca;Superior completo;12000;60;Urbana;3
Homem;40;Branca;Médio completo ou equivalente;8000;44;Urbana;4
Homem;21;Branca;Médio incompleto ou equivalente;3200;40;Urbana;4
Homem;49;Preta;Fundamental completo ou equivalente;1500;40;Urbana;5
Homem;22;Branca;Fundamental incompleto ou equivalente;1000;44;Rural;7
Homem;71;Branca;Fundamental incompleto ou equivalente;1000;44;Rural;1
Mulher;51;Preta;Fundamental incompleto ou equivalente;650;24;Urbana;2
Homem;55;Branca;Médio completo ou equivalente;2000;44;Urbana;4
Homem;22;Parda;Médio completo ou equivalente;1045;48;Urbana;5
Homem;64;Branca;Fundamental incompleto ou equivalente;1050;40;Rural;2
Homem;39;Parda;Fundamental incompleto ou equivalente;1600;44;Urbana;3
Homem;34;Branca;Médio completo ou equivalente;2500;44;Urbana;4
Mulher;48;Parda;Médio completo ou equivalente;400;16;Urbana;8
Homem;37;Parda;Fundamental incompleto ou equivalente;800;40;Rural;2
Homem;45;Parda;Médio incompleto ou equivalente;750;30;Urbana;3
Mulher;65;Branca;Superior completo;1500;30;Urbana;2
Homem;29;Parda;Fundamental incompleto ou equivalente;300;40;Rural;3
Mulher;45;Parda;Médio completo ou equivalente;750;48;Urbana;2
Homem;30;Parda;Fundamental incompleto ou equivalente;1200;30;Urbana;6
Mulher;58;Parda;Médio completo ou equivalente;3000;40;Urbana;5
Mulher;18;Parda;Médio completo ou equivalente;800;30;Urbana;3
Homem;45;Branca;Fundamental completo ou equivalente;800;44;Urbana;1
Mulher;33;Parda;Médio incompleto ou equivalente;2000;44;Urbana;4
Homem;16;Parda;Médio incompleto ou equivalente;280;30;Rural;4
Mulher;35;Parda;Médio completo ou equivalente;1045;36;Rural;3
Homem;57;Parda;Fundamental incompleto ou equivalente;1000;40;Rural;2
Mulher;55;Branca;Fundamental completo ou equivalente;1450;50;Urbana;3
Homem;42;Parda;Superior completo;3000;8;Urbana;5
Homem;54;Branca;Médio incompleto ou equivalente;5500;60;Rural;2
Homem;31;Branca;Superior completo;3000;36;Urbana;3
Mulher;17;Parda;Médio incompleto ou equivalente;550;30;Urbana;3
Homem;33;Branca;Médio completo ou equivalente;1400;40;Urbana;6
Homem;61;Parda;Fundamental incompleto ou equivalente;150;20;Urbana;2
Homem;61;Branca;Fundamental completo ou equivalente;250;36;Urbana;7
Mulher;48;Parda;Médio completo ou equivalente;500;25;Urbana;4
Mulher;35;Parda;Médio completo ou equivalente;1045;48;Urbana;4
Homem;26;Branca;Médio completo ou equivalente;1246;56;Rural;4
Mulher;46;Preta;Fundamental incompleto ou equivalente;300;6;Urbana;2
Homem;40;Branca;Fundamental incompleto ou equivalente;1000;40;Urbana;5
Homem;36;Parda;Médio completo ou equivalente;2100;48;Urbana;3
Homem;41;Branca;Fundamental incompleto ou equivalente;1300;44;Rural;2
Homem;31;Parda;Fundamental completo ou equivalente;1500;44;Rural;2
Mulher;26;Preta;Superior completo;2500;48;Urbana;3
Mulher;27;Parda;Médio completo ou equivalente;1560;42;Urbana;4
Homem;46;Branca;Fundamental incompleto ou equivalente;1650;45;Rural;3
Homem;50;Parda;Fundamental completo ou equivalente;1000;30;Urbana;3
Homem;39;Parda;Superior incompleto ou equivalente;5600;40;Urbana;4
Mulher;28;Branca;Médio completo ou equivalente;6000;44;Urbana;3
Homem;23;Branca;Fundamental incompleto ou equivalente;250;15;Rural;6
Homem;49;Parda;Fundamental incompleto ou equivalente;2500;48;Urbana;5
Mulher;30;Parda;Superior completo;1500;45;Urbana;5
Homem;41;Branca;Fundamental incompleto ou equivalente;1800;44;Rural;3
Homem;25;Preta;Médio completo ou equivalente;1200;44;Rural;4
Homem;21;Parda;Fundamental incompleto ou equivalente;1200;30;Rural;3
Mulher;39;Parda;Superior completo;1045;48;Urbana;3
Mulher;45;Branca;Médio completo ou equivalente;2090;44;Urbana;4
Mulher;32;Parda;Médio incompleto ou equivalente;1045;44;Rural;4
Homem;68;Parda;Fundamental completo ou equivalente;400;48;Urbana;2
Mulher;42;Parda;Superior incompleto ou equivalente;1500;30;Urbana;3
Mulher;25;Parda;Superior completo;2200;40;Urbana;3
Mulher;43;Branca;Médio completo ou equivalente;1163;40;Urbana;2
Mulher;36;Parda;Superior completo;3000;50;Urbana;4
Homem;37;Branca;Superior completo;2000;40;Urbana;3
Mulher;33;Parda;Médio completo ou equivalente;1000;40;Urbana;3
Mulher;41;Branca;Médio completo ou equivalente;1800;36;Urbana;4
Homem;45;Parda;Superior incompleto ou equivalente;2000;40;Urbana;4
Homem;26;Preta;Fundamental completo ou equivalente;945;44;Urbana;4
Mulher;38;Parda;Fundamental incompleto ou equivalente;500;60;Urbana;3
Mulher;34;Branca;Superior completo;1600;44;Urbana;4
Mulher;36;Branca;Fundamental completo ou equivalente;1045;44;Urbana;5
Homem;46;Parda;Fundamental completo ou equivalente;400;70;Urbana;5
Homem;59;Preta;Fundamental incompleto ou equivalente;1045;44;Rural;2
Mulher;44;Preta;Médio completo ou equivalente;1045;44;Urbana;2
Homem;37;Parda;Sem instrução e menos de 1 ano de estudo;600;40;Rural;5
Homem;65;Branca;Médio completo ou equivalente;2000;35;Urbana;3
Homem;19;Parda;Fundamental completo ou equivalente;1045;48;Urbana;6
Mulher;36;Branca;Superior completo;5000;40;Urbana;3
Homem;45;Preta;Fundamental incompleto ou equivalente;1500;48;Urbana;5
Homem;35;Parda;Fundamental incompleto ou equivalente;1045;40;Urbana;4
Homem;62;Parda;Fundamental incompleto ou equivalente;1000;50;Rural;3
Homem;40;Branca;Fundamental incompleto ou equivalente;1200;20;Urbana;5
Mulher;55;Branca;Fundamental completo ou equivalente;800;40;Rural;3
Mulher;59;Branca;Fundamental completo ou equivalente;3000;30;Rural;2
Mulher;27;Parda;Médio completo ou equivalente;1200;44;Urbana;2
Mulher;22;Parda;Médio completo ou equivalente;950;40;Urbana;7
Homem;55;Branca;Superior completo;19000;44;Urbana;6
Homem;56;Parda;Médio completo ou equivalente;700;40;Rural;4
Homem;75;Branca;Médio completo ou equivalente;2000;30;Urbana;3
Homem;34;Parda;Médio completo ou equivalente;480;32;Urbana;3
Mulher;14;Parda;Fundamental incompleto ou equivalente;720;21;Urbana;4
Homem;55;Branca;Superior incompleto ou equivalente;2000;84;Rural;2
Mulher;21;Parda;Médio completo ou equivalente;1045;40;Urbana;4
Homem;48;Parda;Superior completo;7000;44;Urbana;5
Homem;51;Preta;Médio completo ou equivalente;1500;40;Urbana;5
Mulher;40;Branca;Médio completo ou equivalente;1200;15;Urbana;5
Homem;45;Branca;Fundamental incompleto ou equivalente;1000;48;Rural;4
Homem;22;Parda;Médio completo ou equivalente;200;30;Urbana;6
Homem;42;Parda;Fundamental incompleto ou equivalente;2000;48;Urbana;3
Homem;49;Branca;Superior completo;18000;40;Urbana;5
Homem;30;Parda;Médio completo ou equivalente;1045;44;Rural;3
Homem;22;Parda;Médio completo ou equivalente;1200;48;Urbana;3
Homem;58;Branca;Médio completo ou equivalente;1000;44;Rural;2
Homem;49;Branca;Fundamental completo ou equivalente;1600;45;Urbana;4
Homem;56;Branca;Superior incompleto ou equivalente;5000;95;Urbana;3
Mulher;50;Branca;Superior completo;2000;40;Urbana;4
Mulher;26;Branca;Superior completo;1100;20;Urbana;2
Homem;55;Parda;Fundamental incompleto ou equivalente;1500;20;Urbana;2
Mulher;50;Branca;Superior completo;3500;40;Urbana;5
Homem;27;Parda;Médio incompleto ou equivalente;1045;40;Urbana;2
Homem;54;Branca;Sem instrução e menos de 1 ano de estudo;300;25;Rural;3
Homem;41;Branca;Superior completo;6000;40;Urbana;4
Homem;36;Parda;Fundamental completo ou equivalente;500;50;Urbana;1
Homem;34;Parda;Superior completo;3850;30;Urbana;3
Mulher;28;Parda;Médio completo ou equivalente;1045;35;Urbana;5
Homem;25;Parda;Superior completo;2500;40;Urbana;2
Homem;57;Branca;Fundamental incompleto ou equivalente;1000;40;Rural;2
Homem;20;Parda;Fundamental completo ou equivalente;100;40;Urbana;4
Homem;23;Parda;Fundamental completo ou equivalente;820;48;Urbana;6
Homem;66;Branca;Superior completo;6500;60;Urbana;3
Homem;66;Branca;Médio completo ou equivalente;1000;40;Urbana;3
Homem;56;Branca;Fundamental completo ou equivalente;2150;44;Urbana;3
Homem;72;Branca;Fundamental incompleto ou equivalente;2083;40;Rural;2
