Sexo;Idade;Raça;Escolaridade;Rendimento mensal;Horas trabalhadas por semana;Região do domicílio;Número de pessoas no domicílio
Mulher;62;Branca;Fundamental incompleto ou equivalente;100;15;Urbana;1
Homem;42;Parda;Fundamental incompleto ou equivalente;1045;70;Rural;3
Mulher;32;Branca;Médio completo ou equivalente;1500;40;Urbana;4
Mulher;27;Branca;Médio completo ou equivalente;1300;16;Urbana;3
Homem;59;Parda;Médio incompleto ou equivalente;2000;28;Urbana;2
Mulher;58;Branca;Fundamental completo ou equivalente;700;20;Rural;2
Mulher;53;Parda;Médio completo ou equivalente;400;20;Urbana;2
Mulher;42;Branca;Médio completo ou equivalente;200;20;Urbana;2
Homem;26;Branca;Médio completo ou equivalente;2500;100;Urbana;3
Homem;53;Parda;Fundamental incompleto ou equivalente;500;56;Rural;2
Homem;70;Branca;Fundamental incompleto ou equivalente;1045;40;Rural;1
Homem;56;Branca;Fundamental incompleto ou equivalente;1500;60;Rural;2
Homem;38;Parda;Médio completo ou equivalente;100;20;Urbana;6
Mulher;48;Branca;Médio completo ou equivalente;3000;30;Urbana;4
Mulher;54;Parda;Médio completo ou equivalente;2200;40;Urbana;2
Homem;49;Branca;Médio completo ou equivalente;1045;40;Urbana;2
Homem;24;Parda;Médio incompleto ou equivalente;600;44;Urbana;7
Mulher;48;Branca;Fundamental completo ou equivalente;1045;16;Rural;3
Homem;24;Parda;Médio incompleto ou equivalente;1300;42;Urbana;3
Mulher;22;Branca;Médio completo ou equivalente;1200;44;Urbana;6
Mulher;52;Branca;Fundamental incompleto ou equivalente;2000;40;Urbana;2
Mulher;39;Preta;Médio completo ou equivalente;2100;44;Urbana;5
Homem;44;Parda;Superior incompleto ou equivalente;1045;40;Urbana;4
Mulher;62;Branca;Fundamental incompleto ou equivalente;1100;20;Urbana;2
Mulher;76;Parda;Sem instrução e menos de 1 ano de estudo;100;30;Rural;2
Homem;51;Parda;Fundamental incompleto ou equivalente;667;48;Rural;2
Mulher;41;Branca;Superior completo;1200;40;Urbana;4
Homem;27;Preta;Médio completo ou equivalente;1500;44;Urbana;2
Homem;52;Parda;Fundamental completo ou equivalente;2000;48;Urbana;4
Homem;29;Parda;Superior incompleto ou equivalente;3000;48;Urbana;3
Homem;70;Branca;Fundamental incompleto ou equivalente;2000;40;Rural;2
Homem;26;Parda;Médio completo ou equivalente;320;32;Rural;3
Homem;51;Preta;Médio completo ou equivalente;2100;40;Urbana;5
Homem;36;Branca;Médio incompleto ou equivalente;1500;42;Urbana;2
Mulher;44;Preta;Fundamental incompleto ou equivalente;1045;40;Urbana;3
Mulher;42;Parda;Superior completo;300;20;Urbana;3
Homem;53;Branca;Fundamental incompleto ou equivalente;1200;60;Rural;2
Homem;34;Parda;Médio incompleto ou equivalente;1000;44;Urbana;4
Homem;48;Parda;Médio completo ou equivalente;12000;48;Urbana;1
Mulher;24;Branca;Superior incompleto ou equivalente;1000;36;Urbana;2
Mulher;31;Parda;Médio completo ou equivalente;100;2;Rural;4
Homem;55;Branca;Fundamental completo ou equivalente;2000;84;Rural;1
Homem;25;Branca;Médio completo ou equivalente;1045;32;Urbana;4
Mulher;21;Parda;Superior incompleto ou equivalente;1049;44;Urbana;3
Homem;63;Branca;Fundamental completo ou equivalente;1700;44;Urbana;2
Mulher;50;Branca;Fundamental incompleto ou equivalente;1500;40;Urbana;4
Homem;42;Parda;Fundamental incompleto ou equivalente;1400;44;Rural;2
Homem;39;Branca;Superior completo;2500;40;Urbana;5
Homem;59;Branca;Superior completo;20000;80;Urbana;2
Homem;33;Branca;Médio completo ou equivalente;1500;50;Rural;1
Mulher;37;Parda;Médio completo ou equivalente;1600;40;Urbana;4
Homem;29;Parda;Médio completo ou equivalente;1045;48;Urbana;4
Homem;63;Parda;Sem instrução e menos de 1 ano de estudo;200;20;Urbana;4
Homem;51;Parda;Fundamental incompleto ou equivalente;2000;70;Urbana;4
Mulher;53;Parda;Superior completo;50;20;Urbana;2
Homem;48;Parda;Fundamental incompleto ou equivalente;600;40;Urbana;5
Mulher;47;Branca;Médio incompleto ou equivalente;1400;44;Urbana;4
Mulher;60;Branca;Superior completo;5000;40;Urbana;2
Homem;49;Branca;Superior completo;2000;40;Urbana;2
Homem;51;Preta;Fundamental completo ou equivalente;2000;24;Urbana;4
Mulher;50;Parda;Fundamental completo ou equivalente;1045;30;Urbana;2
Homem;50;Preta;Superior completo;9000;60;Urbana;3
Homem;43;Branca;Fundamental incompleto ou equivalente;4040;40;Rural;4
Mulher;28;Branca;Médio completo ou equivalente;1800;48;Urbana;3
Mulher;32;Branca;Médio completo ou equivalente;1400;24;Urbana;2
Mulher;21;Branca;Superior incompleto ou equivalente;1045;30;Urbana;5
Homem;56;Parda;Sem instrução e menos de 1 ano de estudo;240;12;Rural;5
Homem;35;Branca;Superior incompleto ou equivalente;3000;40;Rural;3
Homem;27;Parda;Médio completo ou equivalente;1200;44;Urbana;4
Homem;41;Branca;Médio incompleto ou equivalente;1500;50;Rural;3
Homem;32;Branca;Médio completo ou equivalente;1200;40;Urbana;4
Homem;34;Parda;Médio completo ou equivalente;1400;44;Urbana;3
Mulher;45;Parda;Fundamental incompleto ou equivalente;350;18;Urbana;2
Homem;29;Parda;Superior completo;5000;60;Urbana;2
Homem;56;Branca;Médio completo ou equivalente;3000;40;Urbana;2
Mulher;23;Branca;Superior incompleto ou equivalente;1200;44;Rural;4
Mulher;25;Parda;Superior incompleto ou equivalente;2500;30;Urbana;2
Homem;73;Branca;Superior completo;6500;2;Urbana;2
Mulher;47;Parda;Superior completo;3500;44;Urbana;3
Homem;22;Branca;Superior completo;500;40;Urbana;4
Homem;46;Parda;Fundamental incompleto ou equivalente;200;8;Rural;5
Mulher;33;Parda;Médio completo ou equivalente;750;30;Urbana;2
Mulher;29;Branca;Médio completo ou equivalente;2300;40;Urbana;4
Homem;63;Branca;Médio completo ou equivalente;1045;40;Urbana;2
Mulher;25;Preta;Fundamental completo ou equivalente;650;8;Urbana;5
Homem;57;Branca;Superior completo;7000;60;Urbana;4
Mulher;38;Parda;Fundamental incompleto ou equivalente;1045;44;Urbana;3
Homem;26;Parda;Médio incompleto ou equivalente;1500;40;Urbana;8
Homem;21;Preta;Médio completo ou equivalente;1050;44;Urbana;2
Homem;37;Parda;Fundamental incompleto ou equivalente;150;30;Rural;9
Mulher;42;Parda;Superior completo;2200;40;Urbana;4
Homem;42;Parda;Médio completo ou equivalente;3900;73;Urbana;5
Mulher;47;Branca;Médio completo ou equivalente;1045;40;Urbana;3
Homem;66;Branca;Superior incompleto ou equivalente;1300;18;Urbana;2
Homem;26;Preta;Fundamental completo ou equivalente;1400;40;Urbana;3
Homem;25;Parda;Superior completo;4000;54;Urbana;2
Homem;65;Parda;Fundamental incompleto ou equivalente;700;20;Rural;3
Homem;49;Parda;Fundamental incompleto ou equivalente;1000;60;Urbana;3
Homem;42;Branca;Fundamental completo ou equivalente;5500;70;Rural;4
Homem;31;Preta;Médio completo ou equivalente;2000;40;Urbana;4
Homem;36;Parda;Fundamental incompleto ou equivalente;180;24;Rural;4
Mulher;56;Branca;Médio completo ou equivalente;500;6;Urbana;2
Mulher;37;Branca;Fundamental incompleto ou equivalente;1000;60;Rural;5
Homem;43;Branca;Fundamental completo ou equivalente;2500;60;Urbana;5
Homem;31;Parda;Fundamental incompleto ou equivalente;1045;44;Rural;5
Mulher;51;Parda;Superior completo;1882;50;Urbana;2
Mulher;20;Branca;Superior incompleto ou equivalente;1050;40;Urbana;5
Homem;56;Preta;Fundamental incompleto ou equivalente;200;40;Urbana;3
Homem;62;Branca;Superior completo;5000;40;Urbana;2
Mulher;33;Branca;Médio completo ou equivalente;1045;40;Rural;3
Homem;43;Parda;Fundamental incompleto ou equivalente;1045;44;Urbana;10
Mulher;42;Parda;Médio completo ou equivalente;1100;50;Urbana;3
Homem;67;Branca;Médio completo ou equivalente;2000;44;Urbana;2
Homem;41;Parda;Médio completo ou equivalente;1800;40;Urbana;3
Homem;39;Parda;Fundamental incompleto ou equivalente;1200;44;Urbana;3
Mulher;32;Branca;Fundamental incompleto ou equivalente;1045;1;Rural;4
Mulher;30;Branca;Superior completo;3056;40;Urbana;3
Homem;25;Parda;Fundamental completo ou equivalente;1000;40;Urbana;3
Mulher;35;Branca;Superior completo;2500;30;Urbana;2
Mulher;26;Branca;Médio completo ou equivalente;2500;24;Urbana;3
Homem;43;Preta;Fundamental incompleto ou equivalente;800;40;Rural;4
Mulher;39;Parda;Superior completo;1000;30;Urbana;4
Homem;29;Parda;Superior incompleto ou equivalente;5000;48;Urbana;5
Mulher;33;Branca;Médio completo ou equivalente;1090;40;Urbana;1
Mulher;47;Branca;Fundamental completo ou equivalente;200;16;Urbana;3
Homem;49;Preta;Fundamental incompleto ou equivalente;1000;30;Rural;2
Homem;43;Parda;Médio incompleto ou equivalente;600;20;Urbana;6
Mulher;23;Parda;Superior incompleto ou equivalente;1045;20;Rural;10
Homem;63;Parda;Superior completo;3100;40;Urbana;1
Mulher;41;Branca;Médio completo ou equivalente;1405;40;Urbana;5
Homem;58;Parda;Superior completo;2500;40;Urbana;4
Homem;71;Parda;Fundamental incompleto ou equivalente;1045;44;Rural;1
Mulher;31;Parda;Médio completo ou equivalente;550;40;Urbana;4
Mulher;50;Parda;Fundamental completo ou equivalente;750;12;Urbana;2
Homem;34;Parda;Médio completo ou equivalente;3000;40;Urbana;2
Homem;42;Parda;Médio completo ou equivalente;2000;40;Urbana;5
Mulher;36;Branca;Superior completo;1500;44;Urbana;4
Homem;47;Parda;Superior completo;5000;40;Urbana;4
Homem;32;Branca;Superior completo;18000;60;Urbana;2
Homem;59;Parda;Superior completo;5000;54;Urbana;2
Homem;64;Parda;Sem instrução e menos de 1 ano de estudo;100;35;Rural;2
Mulher;63;Parda;Fundamental incompleto ou equivalente;400;15;Urbana;2
Mulher;44;Parda;Médio incompleto ou equivalente;150;9;Urbana;6
Homem;21;Branca;Médio completo ou equivalente;2400;48;Urbana;4
Homem;52;Branca;Fundamental incompleto ou equivalente;400;24;Rural;2
Mulher;55;Branca;Superior completo;1045;40;Urbana;3
Mulher;38;Parda;Fundamental incompleto ou equivalente;240;10;Rural;7
Mulher;38;Parda;Superior completo;2800;30;Urbana;4
Homem;54;Preta;Fundamental incompleto ou equivalente;1500;80;Urbana;3
Homem;49;Parda;Superior completo;2045;64;Urbana;5
Mulher;42;Parda;Médio completo ou equivalente;1045;40;Rural;2
Homem;59;Parda;Fundamental incompleto ou equivalente;700;15;Urbana;1
Homem;24;Branca;Médio incompleto ou equivalente;1045;40;Urbana;4
Mulher;35;Parda;Médio completo ou equivalente;600;20;Urbana;3
Homem;53;Parda;Médio completo ou equivalente;6250;61;Urbana;3
Mulher;29;Branca;Superior completo;2000;44;Urbana;4
Mulher;64;Parda;Sem instrução e menos de 1 ano de estudo;400;30;Urbana;3
Mulher;49;Branca;Médio completo ou equivalente;1300;48;Urbana;2
Mulher;44;Branca;Superior completo;2000;40;Urbana;2
Homem;17;Branca;Médio incompleto ou equivalente;1000;36;Urbana;4
Mulher;66;Branca;Superior completo;3800;22;Urbana;1
Mulher;34;Preta;Médio completo ou equivalente;1545;54;Urbana;4
Mulher;54;Parda;Superior completo;2000;24;Urbana;3
Homem;22;Parda;Superior incompleto ou equivalente;1045;40;Urbana;5
Homem;40;Parda;Superior completo;10000;50;Urbana;3
Homem;36;Branca;Médio completo ou equivalente;2400;40;Urbana;5
Homem;54;Parda;Fundamental incompleto ou equivalente;2400;40;Urbana;2
Homem;57;Parda;Médio completo ou equivalente;3500;50;Urbana;2
Mulher;45;Branca;Médio completo ou equivalente;1500;40;Urbana;6
Mulher;58;Branca;Médio completo ou equivalente;6000;30;Urbana;2
Homem;45;Parda;Sem instrução e menos de 1 ano de estudo;156;25;Rural;6
Homem;61;Parda;Fundamental incompleto ou equivalente;1045;45;Urbana;2
Homem;53;Parda;Fundamental completo ou equivalente;2000;44;Rural;6
Homem;46;Parda;Médio completo ou equivalente;2000;40;Urbana;4
Homem;41;Branca;Fundamental incompleto ou equivalente;1300;44;Rural;1
Homem;59;Branca;Fundamental incompleto ou equivalente;5000;48;Urbana;3
Mulher;30;Parda;Superior incompleto ou equivalente;1800;40;Urbana;2
Mulher;48;Parda;Fundamental incompleto ou equivalente;100;35;Rural;2
Homem;35;Branca;Médio completo ou equivalente;2500;44;Urbana;5
Mulher;61;Parda;Médio completo ou equivalente;1700;40;Urbana;5
Homem;64;Parda;Médio completo ou equivalente;4000;40;Urbana;3
Homem;31;Parda;Fundamental incompleto ou equivalente;1200;50;Rural;4
Homem;41;Branca;Fundamental incompleto ou equivalente;1000;40;Rural;4
Homem;50;Branca;Fundamental incompleto ou equivalente;700;48;Urbana;3
Homem;23;Parda;Fundamental completo ou equivalente;3000;60;Urbana;3
Homem;29;Branca;Médio completo ou equivalente;2500;44;Urbana;4
Homem;54;Branca;Superior completo;4000;55;Urbana;1
Homem;38;Branca;Médio completo ou equivalente;4000;30;Urbana;4
Homem;51;Parda;Fundamental incompleto ou equivalente;1600;48;Rural;2
Homem;36;Branca;Médio completo ou equivalente;4500;50;Rural;4
Mulher;33;Branca;Superior completo;1600;40;Urbana;2
Homem;44;Parda;Fundamental incompleto ou equivalente;2000;40;Urbana;5
Homem;60;Preta;Sem instrução e menos de 1 ano de estudo;1045;40;Rural;5
Homem;31;Branca;Médio incompleto ou equivalente;2000;48;Rural;4
Mulher;39;Amarela;Médio completo ou equivalente;1845;76;Urbana;11
Mulher;64;Branca;Superior completo;3289;40;Urbana;3
Homem;60;Branca;Médio completo ou equivalente;800;40;Urbana;5
Mulher;38;Branca;Médio completo ou equivalente;500;40;Urbana;5
Homem;63;Branca;Fundamental completo ou equivalente;4100;50;Urbana;2
Homem;23;Parda;Fundamental incompleto ou equivalente;1100;44;Urbana;6
Mulher;48;Parda;Fundamental incompleto ou equivalente;300;40;Rural;5
Homem;21;Parda;Médio completo ou equivalente;2000;44;Urbana;2
Homem;43;Branca;Fundamental incompleto ou equivalente;400;30;Rural;2
Mulher;27;Branca;Médio completo ou equivalente;2000;48;Urbana;6
Mulher;39;Parda;Superior completo;1045;20;Urbana;4
Homem;60;Parda;Médio completo ou equivalente;1600;44;Urbana;5
Mulher;53;Parda;Fundamental incompleto ou equivalente;1045;40;Urbana;2
Homem;44;Preta;Sem instrução e menos de 1 ano de estudo;2090;50;Rural;2
Homem;25;Parda;Fundamental completo ou equivalente;1045;44;Rural;3
Mulher;45;Branca;Médio completo ou equivalente;570;24;Urbana;3
Mulher;47;Branca;Médio completo ou equivalente;2700;40;Rural;3
Mulher;28;Parda;Médio completo ou equivalente;500;20;Urbana;4
Homem;41;Branca;Médio completo ou equivalente;18000;40;Urbana;4
Homem;58;Branca;Médio completo ou equivalente;2500;20;Urbana;3
Homem;52;Parda;Médio completo ou equivalente;2000;44;Urbana;3
Homem;28;Branca;Fundamental incompleto ou equivalente;400;44;Urbana;2
Homem;40;Branca;Fundamental incompleto ou equivalente;1100;44;Urbana;1
Homem;38;Parda;Fundamental incompleto ou equivalente;1500;20;Rural;5
Mulher;39;Parda;Médio completo ou equivalente;1045;40;Urbana;3
Homem;61;Parda;Médio completo ou equivalente;1600;40;Urbana;3
Homem;48;Preta;Fundamental incompleto ou equivalente;1045;40;Urbana;2
Homem;26;Parda;Médio completo ou equivalente;1045;44;Urbana;3
Homem;29;Parda;Superior incompleto ou equivalente;1500;44;Urbana;3
Mulher;54;Parda;Fundamental completo ou equivalente;2200;56;Urbana;2
Mulher;22;Branca;Superior incompleto ou equivalente;522;10;Urbana;3
Homem;43;Parda;Médio completo ou equivalente;1600;48;Urbana;3
Homem;19;Parda;Médio completo ou equivalente;1045;44;Urbana;4
Homem;79;Parda;Fundamental incompleto ou equivalente;1500;40;Rural;2
Homem;22;Branca;Médio incompleto ou equivalente;1400;44;Urbana;6
Mulher;41;Parda;Médio completo ou equivalente;1500;44;Urbana;4
Homem;63;Parda;Fundamental completo ou equivalente;1200;30;Urbana;4
Mulher;47;Branca;Fundamental completo ou equivalente;600;15;Urbana;5
Mulher;58;Parda;Fundamental incompleto ou equivalente;150;44;Urbana;1
Homem;46;Branca;Superior completo;5000;44;Urbana;5
Mulher;23;Parda;Médio completo ou equivalente;1500;44;Urbana;5
Homem;62;Parda;Fundamental incompleto ou equivalente;400;30;Rural;1
Mulher;21;Preta;Superior incompleto ou equivalente;1045;30;Urbana;4
Homem;43;Parda;Médio completo ou equivalente;5000;40;Urbana;4
Homem;35;Parda;Fundamental completo ou equivalente;1045;40;Urbana;4
Homem;64;Parda;Fundamental incompleto ou equivalente;1250;72;Rural;4
Homem;30;Branca;Médio completo ou equivalente;1045;40;Urbana;3
Homem;28;Parda;Médio completo ou equivalente;1100;40;Rural;3
Homem;39;Parda;Fundamental incompleto ou equivalente;1500;50;Rural;4
Homem;25;Branca;Médio completo ou equivalente;1100;40;Rural;4
Mulher;30;Branca;Superior completo;3100;40;Urbana;4
Homem;34;Parda;Médio completo ou equivalente;1300;44;Urbana;7
Homem;21;Parda;Fundamental incompleto ou equivalente;400;20;Rural;3
Homem;28;Branca;Médio completo ou equivalente;2000;40;Urbana;3
Mulher;50;Branca;Superior completo;2500;20;Urbana;2
Mulher;26;Branca;Superior incompleto ou equivalente;1800;48;Urbana;2
Mulher;39;Parda;Médio completo ou equivalente;1000;48;Urbana;2
Homem;50;Branca;Superior completo;4000;50;Urbana;3
Mulher;34;Parda;Fundamental incompleto ou equivalente;900;60;Rural;7
Homem;56;Parda;Fundamental completo ou equivalente;900;30;Urbana;2
Mulher;31;Parda;Médio completo ou equivalente;1700;44;Urbana;3
Homem;47;Preta;Médio completo ou equivalente;1045;48;Urbana;5
Mulher;37;Parda;Médio completo ou equivalente;1300;40;Urbana;4
Mulher;38;Branca;Superior completo;4000;40;Urbana;2
Homem;43;Branca;Fundamental completo ou equivalente;1300;40;Urbana;3
Homem;31;Branca;Superior incompleto ou equivalente;1045;40;Urbana;5
Homem;16;Parda;Sem instrução e menos de 1 ano de estudo;500;50;Urbana;10
Mulher;34;Parda;Médio completo ou equivalente;5000;40;Rural;5
Mulher;71;Parda;Superior completo;2000;25;Urbana;1
Mulher;34;Branca;Superior completo;5500;35;Urbana;3
Homem;20;Preta;Médio completo ou equivalente;1045;44;Urbana;3
Homem;33;Parda;Fundamental incompleto ou equivalente;4000;60;Rural;5
Mulher;49;Branca;Fundamental incompleto ou equivalente;4000;30;Urbana;3
Mulher;32;Parda;Médio incompleto ou equivalente;1300;40;Rural;2
Homem;52;Parda;Sem instrução e menos de 1 ano de estudo;300;20;Rural;3
Mulher;31;Branca;Superior completo;1600;44;Urbana;2
Homem;47;Branca;Superior incompleto ou equivalente;2600;40;Urbana;3
Homem;26;Parda;Fundamental incompleto ou equivalente;900;50;Urbana;5
Homem;43;Parda;Fundamental completo ou equivalente;1400;40;Urbana;3
Homem;35;Parda;Médio completo ou equivalente;3000;40;Urbana;3
Homem;54;Branca;Fundamental incompleto ou equivalente;500;16;Rural;3
Homem;55;Branca;Médio incompleto ou equivalente;1045;48;Urbana;2
Mulher;49;Parda;Médio completo ou equivalente;600;12;Urbana;4
Homem;23;Parda;Fundamental completo ou equivalente;1000;40;Urbana;3
Homem;45;Branca;Médio completo ou equivalente;600;16;Rural;4
Homem;46;Parda;Médio completo ou equivalente;1500;40;Urbana;6
Mulher;21;Parda;Médio completo ou equivalente;1200;40;Urbana;4
Homem;23;Parda;Médio incompleto ou equivalente;900;48;Urbana;4
Homem;23;Preta;Médio completo ou equivalente;1045;44;Rural;7
Mulher;49;Branca;Médio completo ou equivalente;2000;50;Urbana;3
Homem;65;Parda;Fundamental incompleto ou equivalente;500;30;Urbana;5
Homem;45;Branca;Fundamental incompleto ou equivalente;3000;60;Rural;4
Homem;38;Branca;Superior completo;3500;40;Urbana;2
Homem;56;Branca;Fundamental completo ou equivalente;7000;44;Urbana;3
Mulher;52;Parda;Médio incompleto ou equivalente;1500;30;Urbana;2
Mulher;32;Parda;Médio completo ou equivalente;200;24;Urbana;4
Homem;36;Branca;Fundamental incompleto ou equivalente;300;40;Rural;5
Homem;40;Branca;Médio completo ou equivalente;1900;44;Urbana;5
Mulher;22;Parda;Superior incompleto ou equivalente;1400;44;Urbana;5
Homem;46;Parda;Fundamental incompleto ou equivalente;1800;44;Urbana;4
Mulher;30;Parda;Fundamental incompleto ou equivalente;600;24;Urbana;5
Homem;52;Branca;Superior incompleto ou equivalente;4500;40;Urbana;3
Homem;18;Parda;Médio incompleto ou equivalente;1200;40;Urbana;2
Mulher;38;Branca;Superior completo;20000;44;Urbana;4
Mulher;34;Parda;Fundamental completo ou equivalente;700;44;Urbana;3
Mulher;39;Parda;Médio completo ou equivalente;1045;40;Urbana;3
Mulher;39;Parda;Superior completo;1300;40;Rural;5
Homem;59;Parda;Fundamental incompleto ou equivalente;100;30;Rural;3
Homem;45;Parda;Fundamental completo ou equivalente;2000;44;Urbana;4
Homem;38;Branca;Superior completo;6000;40;Urbana;2
Mulher;43;Branca;Fundamental incompleto ou equivalente;250;40;Rural;1
Mulher;18;Parda;Médio completo ou equivalente;600;27;Rural;5
Homem;42;Branca;Superior completo;20000;35;Urbana;4
Mulher;31;Preta;Médio completo ou equivalente;1045;48;Rural;2
Homem;51;Parda;Sem instrução e menos de 1 ano de estudo;650;40;Rural;2
Mulher;71;Parda;Médio completo ou equivalente;200;40;Urbana;1
Homem;33;Parda;Médio completo ou equivalente;1400;48;Urbana;4
Homem;43;Branca;Superior completo;2000;40;Urbana;5
Mulher;33;Branca;Superior completo;2000;40;Urbana;2
Mulher;36;Branca;Superior completo;3000;20;Urbana;3
Mulher;49;Parda;Superior completo;1700;60;Rural;2
Mulher;14;Parda;Fundamental incompleto ou equivalente;300;36;Urbana;7
Mulher;38;Parda;Médio completo ou equivalente;2500;24;Urbana;3
Homem;29;Branca;Médio completo ou equivalente;3000;48;Urbana;5
Mulher;34;Parda;Fundamental completo ou equivalente;1300;44;Urbana;3
Homem;62;Branca;Fundamental completo ou equivalente;2800;40;Urbana;2
Homem;37;Parda;Médio completo ou equivalente;2000;44;Urbana;4
Homem;43;Parda;Fundamental incompleto ou equivalente;1045;44;Urbana;4
Homem;35;Branca;Médio completo ou equivalente;2000;45;Urbana;2
Mulher;43;Parda;Superior incompleto ou equivalente;2500;30;Urbana;3
Mulher;21;Parda;Superior incompleto ou equivalente;2000;40;Urbana;5
Homem;32;Parda;Fundamental completo ou equivalente;1570;44;Urbana;4
Homem;44;Parda;Fundamental incompleto ou equivalente;800;56;Rural;3
Homem;28;Parda;Fundamental incompleto ou equivalente;2000;44;Urbana;2
Homem;59;Parda;Médio completo ou equivalente;2100;24;Rural;3
Mulher;45;Parda;Superior completo;3000;40;Urbana;1
Homem;46;Branca;Médio completo ou equivalente;8000;40;Urbana;3
Homem;21;Branca;Médio completo ou equivalente;600;30;Urbana;3
Mulher;46;Parda;Superior incompleto ou equivalente;450;30;Urbana;2
Mulher;55;Branca;Fundamental incompleto ou equivalente;25;15;Rural;3
Mulher;57;Branca;Médio completo ou equivalente;1500;48;Urbana;3
Mulher;34;IndÃ­gena;Fundamental incompleto ou equivalente;500;40;Rural;4
Mulher;24;Branca;Superior incompleto ou equivalente;1500;25;Urbana;2
Homem;53;Parda;Fundamental incompleto ou equivalente;300;20;Urbana;3
Homem;51;Parda;Médio completo ou equivalente;1500;30;Urbana;1
Mulher;53;Parda;Médio completo ou equivalente;1400;40;Rural;2
Homem;54;Parda;Fundamental incompleto ou equivalente;1200;44;Urbana;2
Homem;26;Branca;Superior completo;1800;40;Urbana;2
Homem;38;Branca;Superior completo;200;20;Urbana;3
Homem;41;Parda;Médio completo ou equivalente;2090;44;Urbana;4
Homem;47;Parda;Fundamental completo ou equivalente;2000;30;Urbana;2
Homem;36;Parda;Médio completo ou equivalente;1045;44;Urbana;3
Homem;54;Branca;Fundamental incompleto ou equivalente;1350;40;Urbana;5
Homem;52;Branca;Fundamental incompleto ou equivalente;3000;50;Rural;5
Homem;55;Preta;Fundamental incompleto ou equivalente;500;18;Urbana;1
Homem;19;Branca;Médio completo ou equivalente;1000;44;Urbana;4
Mulher;50;Branca;Superior completo;1300;20;Urbana;3
Homem;52;Parda;Médio incompleto ou equivalente;1440;44;Urbana;4
Mulher;44;Parda;Superior completo;2200;30;Rural;2
Mulher;29;Parda;Superior completo;2500;40;Urbana;7
Mulher;25;Branca;Superior completo;2000;40;Urbana;3
Homem;44;Branca;Médio completo ou equivalente;1800;44;Urbana;3
Homem;57;Branca;Médio completo ou equivalente;1500;40;Urbana;4
Homem;61;Branca;Fundamental incompleto ou equivalente;2800;48;Urbana;4
Mulher;24;Parda;Médio completo ou equivalente;1045;40;Urbana;7
Homem;48;Preta;Superior completo;2100;40;Urbana;5
Mulher;56;Branca;Fundamental incompleto ou equivalente;1400;40;Urbana;5
Mulher;32;Parda;Médio completo ou equivalente;1045;40;Rural;4
Mulher;59;Parda;Fundamental incompleto ou equivalente;1045;46;Urbana;2
Mulher;36;Parda;Médio completo ou equivalente;1400;40;Urbana;1
Mulher;57;Branca;Médio completo ou equivalente;1200;60;Urbana;3
Homem;20;Parda;Médio completo ou equivalente;1300;40;Rural;4
Homem;24;Parda;Superior incompleto ou equivalente;2000;40;Urbana;2
Mulher;46;Parda;Médio completo ou equivalente;1300;40;Rural;3
Homem;43;Parda;Médio completo ou equivalente;500;40;Urbana;3
Homem;51;Preta;Sem instrução e menos de 1 ano de estudo;500;30;Rural;9
Homem;25;Parda;Médio incompleto ou equivalente;1300;40;Urbana;3
Homem;30;Branca;Médio completo ou equivalente;1500;40;Urbana;3
Mulher;24;Branca;Superior completo;1045;40;Urbana;1
Homem;22;Parda;Superior incompleto ou equivalente;1600;40;Urbana;3
Homem;71;Branca;Fundamental incompleto ou equivalente;1045;20;Rural;3
Homem;51;Parda;Médio completo ou equivalente;4500;40;Urbana;3
Homem;34;Preta;Fundamental completo ou equivalente;1200;36;Urbana;4
Homem;37;Parda;Médio completo ou equivalente;2300;40;Urbana;4
Homem;38;Parda;Médio completo ou equivalente;2000;50;Urbana;5
Homem;56;Branca;Fundamental incompleto ou equivalente;416;44;Rural;3
Homem;53;Branca;Médio completo ou equivalente;8000;44;Urbana;4
Mulher;35;Parda;Médio completo ou equivalente;4500;44;Urbana;4
Homem;50;Branca;Fundamental incompleto ou equivalente;2000;44;Rural;3
Mulher;32;Parda;Superior completo;1900;25;Urbana;3
Homem;73;Branca;Fundamental incompleto ou equivalente;800;44;Urbana;4
Mulher;54;Parda;Médio incompleto ou equivalente;600;36;Rural;2
Mulher;30;Parda;Médio completo ou equivalente;300;5;Urbana;4
Mulher;52;Branca;Fundamental incompleto ou equivalente;1000;25;Rural;2
Homem;58;Branca;Fundamental completo ou equivalente;750;7;Urbana;4
Homem;30;Branca;Médio completo ou equivalente;2500;40;Urbana;3
Homem;24;Branca;Fundamental completo ou equivalente;1045;45;Rural;3
Mulher;27;Preta;Médio completo ou equivalente;1045;42;Urbana;2
Homem;40;Parda;Fundamental incompleto ou equivalente;400;20;Rural;5
Homem;41;Branca;Superior completo;10000;30;Urbana;4
Homem;46;Parda;Fundamental incompleto ou equivalente;1400;44;Urbana;6
Mulher;53;Preta;Médio completo ou equivalente;1045;30;Urbana;2
Homem;22;Parda;Superior incompleto ou equivalente;1000;25;Urbana;3
Homem;20;Parda;Fundamental completo ou equivalente;200;32;Urbana;5
Homem;32;Branca;Médio completo ou equivalente;3000;20;Urbana;2
Homem;40;Branca;Superior completo;12000;40;Urbana;2
Homem;19;Parda;Fundamental incompleto ou equivalente;700;40;Rural;3
Mulher;42;Preta;Sem instrução e menos de 1 ano de estudo;800;56;Urbana;4
